,img_ID,artist,height,width,whitespace,chiaroscuro,color_01,color_02,color_03,color_04,color_05,color_06,color_07,color_08,color_09,color_10
0,9223372032559824886,caravaggio,50,50,1.96,0.03405,#003F00,#BF7F7F,#7F3F3F,#FFFFBF,#BFBF7F,#FFBFBF,#3F3F00,#7F3F3F,#BF7F3F,#3F3F00
1,186636,caravaggio,50,50,1.96,0.05499,#3F003F,#7F7F3F,#BFBFBF,#3F3F3F,#3F3F00,#7F3F3F,#FFBF7F,#3F003F,#FFFFFF,#BF7F3F
2,186724,caravaggio,50,50,1.96,0.05918,#BFBF7F,#3F0000,#3F3F3F,#FFBFBF,#7F7F3F,#BF7F7F,#FFFFBF,#3F3F00,#7F3F3F,#3F3F00
3,186639,caravaggio,50,50,1.96,0.08463,#3F0000,#BF7F00,#7F3F3F,#3F0000,#FFBF7F,#3F3F00,#7F3F00,#3F3F3F,#BF7F3F,#7F7F3F
4,186671,caravaggio,50,50,1.96,0.0702,#FFBF7F,#3F3F00,#7F7F3F,#003F00,#BF7F7F,#3F3F00,#7F3F3F,#3F3F3F,#7F7F7F,#7F3F3F
5,186691,caravaggio,50,50,1.96,0.02794,#3F0000,#FFBFBF,#7F3F3F,#3F0000,#FFFFFF,#FF7F7F,#3F3F00,#7F7F3F,#7F3F3F,#BF7F3F
6,186632,caravaggio,50,50,1.96,0.14715,#3F3F3F,#FFBF3F,#000000,#3F0000,#3F3F00,#BF7F3F,#FFBF7F,#7F7F3F,#FFFFBF,#7F3F3F
7,186633,caravaggio,50,50,1.96,0.26923,#FFFFBF,#3F3F00,#7F7F00,#BFBF7F,#7F3F00,#FFBF7F,#003F00,#FFFF7F,#3F003F,#3F3F3F
8,186635,caravaggio,50,50,1.96,0.04847,#3F3F3F,#00003F,#BF7F7F,#3F003F,#3F3F3F,#7F3F3F,#BFBF7F,#7F7F3F,#7F7F7F,#BF7F3F
9,186706,caravaggio,50,50,1.96,0.0406,#BF7F7F,#3F003F,#3F3F3F,#3F3F00,#7F3F00,#3F3F3F,#7F7F3F,#7F3F3F,#BFBF7F,#7F7F7F
10,9223372032559874214,caravaggio,50,50,1.96,0.0323,#000000,#BF7F3F,#FFFFBF,#7F3F3F,#FFBF7F,#3F3F00,#3F003F,#7F7F3F,#7F3F3F,#FFBF3F
11,186663,caravaggio,50,50,1.96,12.25,#7F3F3F,#BFBFBF,#7F7F7F,#FFFFFF,#3F3F3F,#BF7F7F,#BF7FBF,#7F7F3F,#BF7F3F,#3F003F
12,186670,caravaggio,50,50,1.96,0.05109,#3F3F00,#FFFFFF,#3F0000,#BF7F00,#3F003F,#BFBFFF,#FFBF3F,#3F3F3F,#7F3F00,#7F7F7F
13,186677,caravaggio,50,50,1.96,0.04268,#003F00,#FFBFBF,#3F003F,#3F3F3F,#BF7F3F,#FFFFFF,#7F3F3F,#7F003F,#3F3F3F,#FFBF7F
14,186678,caravaggio,50,50,1.96,0.0422,#7F3F00,#3F0000,#FFBFBF,#BFBF7F,#3F3F3F,#BF7F3F,#3F3F00,#FFBF7F,#FFFFFF,#FFFFBF
15,186683,caravaggio,50,50,1.96,0.04925,#000000,#BF7F3F,#3F3F3F,#FFBF7F,#7F3F3F,#3F3F00,#3F0000,#7F7F3F,#BF7F7F,#7F3F00
16,186714,caravaggio,50,50,1.96,0.03864,#000000,#7F3F3F,#7F7F3F,#3F3F00,#BFBF7F,#7F3F00,#FFFFBF,#3F3F00,#BF7F3F,#7F0000
17,186717,caravaggio,50,50,1.96,0.03571,#3F0000,#7FBFBF,#3F0000,#7F7F7F,#3F3F3F,#3F3F00,#BFBFBF,#7F3F3F,#003F3F,#FFFFFF
18,186657,caravaggio,50,50,1.96,0.05813,#FFFFFF,#7F0000,#000000,#FF3F3F,#7F3F00,#FFBF7F,#3F3F00,#BF7F3F,#FFFFBF,#3F3F00
19,186667,caravaggio,50,50,1.96,0.08291,#00003F,#7F3F3F,#FFFFBF,#3F3F3F,#3F0000,#BF7F7F,#BF7F3F,#3F3F00,#3F003F,#7F003F
20,186686,caravaggio,50,50,1.96,0.03635,#FFBF7F,#3F003F,#003F3F,#BF3F00,#7F3F3F,#BF7F3F,#BFBF7F,#7F0000,#3F3F00,#7F3F3F
21,186716,caravaggio,50,50,1.96,0.03064,#003F3F,#7F7F7F,#3F3F3F,#FFFFFF,#3F3F3F,#7F3F3F,#FFBF7F,#BF7F7F,#7F7F3F,#3F3F3F
22,186721,caravaggio,50,50,1.96,0.02734,#3F3F00,#FFFFFF,#7F003F,#FFBF7F,#3F3F3F,#7F7F3F,#7F3F3F,#3F0000,#3F3F3F,#BF7F3F
23,186646,caravaggio,50,50,1.96,0.02894,#000000,#BF7F3F,#3F3F3F,#3F3F3F,#BFBF7F,#7F7F3F,#7F3F3F,#3F3F3F,#BF7F7F,#7F3F3F
24,186672,caravaggio,50,50,1.96,0.02865,#3F3F00,#FFBF7F,#000000,#BF7F3F,#3F003F,#FFFFBF,#7F3F00,#7F7F3F,#BFBF7F,#3F3F3F
25,186704,caravaggio,50,50,1.96,0.06234,#3F3F00,#BF7F3F,#7F3F3F,#003F00,#BFBF7F,#FFFFFF,#3F3F3F,#3F3F00,#7F7F3F,#BFBF3F
26,186728,caravaggio,50,50,1.96,0.03386,#3F003F,#BF7F7F,#FFBFBF,#3F3F3F,#3F003F,#FFFFFF,#BF7F3F,#7F3F3F,#FFFFBF,#3F3F3F
27,186638,caravaggio,50,50,1.96,0.02703,#00003F,#7F3F00,#FFBF3F,#3F3F00,#3F3F00,#7F7F00,#BFBF7F,#FFFF7F,#7F3F3F,#BF7F3F
28,186642,caravaggio,50,50,1.96,0.03103,#000000,#BF3F00,#3F3F00,#FFBF3F,#7F3F3F,#BF7F3F,#3F3F00,#7F7F3F,#7F3F3F,#FFFF7F
29,186668,caravaggio,50,50,1.96,0.03587,#003F00,#BF7F3F,#3F003F,#7F3F3F,#FFBF7F,#3F3F00,#FFFFBF,#BF7F7F,#7F3F00,#3F3F3F
30,9223372032559822690,caravaggio,50,50,1.96,0.03964,#BF7F3F,#3F0000,#BFBF7F,#7F3F00,#3F3F00,#FFFFBF,#3F0000,#FFBF3F,#7F7F00,#FFBF7F
31,186645,caravaggio,50,50,1.96,0.03796,#000000,#FFBF3F,#BF7F00,#3F3F00,#BFBF7F,#FFBF7F,#3F0000,#7F3F00,#7F7F3F,#FFFFBF
32,186699,caravaggio,50,50,1.96,0.04645,#3F003F,#3F003F,#FFBF7F,#7F3F3F,#3F3F3F,#FFFFBF,#3F0000,#BF7F3F,#BF3F3F,#BF7F7F
33,186630,caravaggio,50,50,1.96,0.0491,#000000,#BF7F3F,#FFBFBF,#7F3F3F,#3F0000,#3F3F00,#FFBF7F,#FFFFBF,#BF3F3F,#7F3F3F
34,186653,caravaggio,50,50,1.96,0.0326,#000000,#BFBF7F,#7F3F3F,#3F3F3F,#3F003F,#FFFF7F,#BF3F3F,#3F3F3F,#FF7F3F,#7F3F3F
35,186655,caravaggio,50,50,1.96,0.02814,#FF3F00,#3F3F3F,#3F0000,#7F3F00,#BF7F3F,#BF3F3F,#BF3F00,#7F3F00,#3F3F00,#FFFF7F
36,186659,caravaggio,50,50,1.96,0.0518,#3F3F3F,#BF7F3F,#7F3F3F,#FFBFBF,#3F0000,#3F3F3F,#FFBF7F,#3F3F00,#BFBF7F,#BF7F7F
37,186685,caravaggio,50,50,1.96,0.0319,#3F003F,#BF7F00,#7F3F00,#3F0000,#BF3F00,#FFBF7F,#BF7F7F,#3F3F00,#7F3F3F,#7F7F7F
38,186695,caravaggio,50,50,1.96,0.05925,#3F3F00,#BF7F3F,#BFBF7F,#003F00,#7F3F00,#FFBFBF,#3F3F00,#BF3F00,#7F3F00,#7F7F3F
39,186700,caravaggio,50,50,1.96,0.03886,#3F3F3F,#BFBF7F,#3F3F00,#3F3F00,#7F7F3F,#7F3F3F,#FFFFBF,#7F3F3F,#BF7F3F,#3F3F3F
40,186702,caravaggio,50,50,1.96,0.02797,#3F3F00,#BF7F3F,#7F3F3F,#3F0000,#FFFFBF,#3F3F00,#BF3F00,#7F3F3F,#3F3F3F,#FFBF3F
41,9223372032559874456,caravaggio,50,50,1.96,0.06389,#3F3F3F,#7F3F3F,#7F3F3F,#FFBF7F,#3F3F3F,#BF7F3F,#3F3F00,#7F7F3F,#BF3F00,#FF7F3F
42,186643,caravaggio,50,50,1.96,0.03898,#003F00,#FFBF7F,#7F3F3F,#3F3F00,#BF7F3F,#FFFFBF,#3F003F,#FFBFBF,#3F3F3F,#7F003F
43,186650,caravaggio,50,50,1.96,0.04199,#3F3F00,#BFBFBF,#3F0000,#7F3F3F,#FFFFFF,#BF7F7F,#7F0000,#3F3F00,#FFBFBF,#7F7F7F
44,186652,caravaggio,50,50,1.96,0.03828,#00003F,#BF3F00,#BF7F3F,#7F3F00,#FFBF7F,#3F0000,#3F3F00,#7F7F3F,#7F003F,#7F3F3F
45,186726,caravaggio,50,50,1.96,0.02925,#00003F,#7F3F00,#3F003F,#3F3F00,#BF7F00,#7F3F00,#7F3F3F,#3F3F3F,#BF0000,#7F7F3F
46,186676,caravaggio,50,50,1.96,0.04083,#003F00,#7F3F00,#3F3F3F,#FFBF7F,#3F3F00,#3F3F00,#7F7F3F,#FFFFBF,#BF7F3F,#7F7F7F
47,9223372032559874460,caravaggio,50,50,1.96,0.0406,#7F3F3F,#003F00,#3F3F00,#3F3F3F,#BF7F3F,#FFBF7F,#7F3F3F,#7F7F3F,#BFBF7F,#BF7F7F
48,9223372032559874454,caravaggio,50,50,1.96,0.04371,#3F003F,#FFBF7F,#003F00,#BF7F3F,#FF3F00,#7F3F00,#BF0000,#7F0000,#FFFFBF,#3F3F00
49,186658,caravaggio,50,50,1.96,0.03735,#003F00,#7F7F3F,#FFFFBF,#3F3F3F,#7F3F3F,#FFBF7F,#3F3F00,#7F3F3F,#BF3F3F,#BF7F3F
50,186665,caravaggio,50,50,1.96,0.04199,#3F3F3F,#BF7F3F,#3F3F00,#7F3F3F,#FFFFBF,#FFBF7F,#3F3F3F,#3F3F3F,#BF7F7F,#7F3F00
51,186641,caravaggio,50,50,1.96,0.02806,#3F003F,#BF7F3F,#7F3F00,#FFFFBF,#3F3F00,#BFBF7F,#3F3F00,#7F3F3F,#FFBF7F,#7F7F3F
52,186649,caravaggio,50,50,1.96,0.03093,#003F3F,#BFBF7F,#7F3F3F,#3F3F00,#BF7F3F,#3F3F00,#BF7F7F,#FFBF7F,#7F3F00,#3F3F3F
53,186719,caravaggio,50,50,1.96,0.03129,#FFBF7F,#000000,#3F3F00,#7F3F00,#BF7F3F,#3F3F3F,#BF0000,#7F003F,#BF7F7F,#3F3F3F
54,9223372032559874455,caravaggio,50,50,1.96,0.03211,#3F003F,#3F3F3F,#7F3F3F,#3F0000,#3F3F3F,#7F7F7F,#7F3F00,#7F7F3F,#BFBF7F,#BF7F3F
55,186664,caravaggio,50,50,1.96,0.02715,#3F3F00,#FF7F3F,#3F3F3F,#BF003F,#3F0000,#3F3F3F,#7F003F,#FFBF3F,#7F7F3F,#7F3F3F
56,186688,caravaggio,50,50,1.96,0.02531,#3F0000,#7F3F3F,#3F3F00,#3F3F00,#BF7F3F,#3F3F3F,#BF3F3F,#FFBF7F,#FF7F3F,#7F3F00
57,186692,caravaggio,50,50,1.96,0.0326,#3F0000,#7F3F3F,#3F0000,#BF7F7F,#7F7F3F,#7F0000,#3F3F00,#BF7F3F,#BFBF7F,#7F3F00
58,186722,caravaggio,50,50,1.96,0.02467,#3F003F,#7F7F3F,#3F3F00,#FFBF7F,#3F3F00,#7F3F3F,#BF7F3F,#3F3F3F,#FFFFBF,#7F3F00
59,9223372032559874457,caravaggio,50,50,1.96,0.27072,#BF7F3F,#3F003F,#FFBF7F,#3F3F00,#7F7F3F,#3F0000,#BFBF7F,#7F3F00,#3F3F3F,#7F3F3F
60,186640,caravaggio,50,50,1.96,0.03262,#BF7F3F,#3F3F00,#FFFFFF,#3F3F00,#FFBF7F,#7F3F3F,#BF7F7F,#3F0000,#7F7F3F,#FFBFBF
61,186644,caravaggio,50,50,1.96,0.03139,#3F3F00,#BF7F3F,#3F0000,#7F3F3F,#FFBF7F,#3F3F00,#3F3F3F,#FFBFBF,#BF7F7F,#7F7F3F
62,186651,caravaggio,50,50,1.96,0.02595,#003F3F,#FFBF3F,#7F3F00,#FFFFBF,#3F003F,#BF7F3F,#FFBF7F,#3F3F00,#BF7F3F,#7F7F3F
63,186666,caravaggio,50,50,1.96,0.03141,#7F3F3F,#00003F,#3F3F00,#3F0000,#BFBF7F,#7F7F3F,#7F3F00,#7F3F00,#BF7F3F,#3F3F3F
64,186693,caravaggio,50,50,1.96,0.04685,#3F3F3F,#FFBF7F,#7F3F3F,#3F0000,#FF3F3F,#BF7F3F,#3F3F00,#BF3F3F,#FFFF7F,#7F3F00
65,186697,caravaggio,50,50,1.96,0.02982,#3F3F3F,#3F0000,#FFBF7F,#7F7F7F,#3F003F,#FFFFFF,#7F3F3F,#BF7F3F,#FFBFBF,#BF7F7F
66,186707,caravaggio,50,50,1.96,0.03219,#3F0000,#7F7F3F,#FFFFBF,#3F3F3F,#3F003F,#BF7F7F,#7F3F3F,#3F3F00,#7F3F3F,#BFBF7F
